BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Douglas Elliman - 1995 Broadway","Condo for sale",1695000,2,1827,"475 Sterling Pl Apt 1B","Brooklyn, NY 11238","475 Sterling Pl Apt 1B, Brooklyn, NY 11238","New York","Kings County",Brooklyn,"Crown Heights",475,"475 Sterling Pl #1b, Brooklyn, NY 11238, USA",40.6745841,-73.9623868
"Brokered by Plaza Island Properties, LLC","Multi-family home for sale",669000,1,2675,"166 Jewett Ave","Staten Island, NY 10302","166 Jewett Ave, Staten Island, NY 10302","United States","New York","Richmond County","Staten Island","Jewett Avenue","166 Jewett Ave, Staten Island, NY 10302, USA",40.6330311,-74.1301207
"Brokered by 5 Boro Realty Corp","Multi-family home for sale",1900000,6,2185,"1792 Saint Johns Pl","Brooklyn, NY 11233","1792 Saint Johns Pl, Brooklyn, NY 11233","United States","New York","Kings County",Brooklyn,"Saint Johns Place","1792 St Johns Pl, Brooklyn, NY 11233, USA",40.6696983,-73.9181397
"Brokered by Corcoran Fort Greene","Co-op for sale",350000,1,2187,"319 E 50th St Apt 8F","New York, NY 10022","319 E 50th St Apt 8F, New York, NY 10022","New York","New York County","New York",Manhattan,319,"319 E 50th St #8f, New York, NY 10022, USA",40.7546656,-73.9675207
"Brokered by COMPASS","Co-op for sale",875000,1,2165,"77 Bleecker St Apt 505","Manhattan, NY 10012","77 Bleecker St Apt 505, Manhattan, NY 10012","New York","New York County","New York",Manhattan,77,"77 Bleecker St Apt 505, New York, NY 10012, USA",40.7267155,-73.9958775
"Brokered by Engel & V","Co-op for sale",489000,1,2186,"9 E 96th St Unit 7C","New York, NY 10128","9 E 96th St Unit 7C, New York, NY 10128","New York","New York County","New York",Manhattan,9,"9 E 96th St #7c, New York, NY 10128, USA",40.7877526,-73.9547413
"Brokered by Brown Harris Stevens","Condo for sale",2800000,2,1687,"543 W 122nd St Apt 27A","Manhattan, NY 10027","543 W 122nd St Apt 27A, Manhattan, NY 10027","New York","New York County","New York",Manhattan,543,"543 W 122nd St #27a, New York, NY 10027, USA",40.8115505,-73.959759
"Brokered by Douglas Elliman - 936 Broadway","Co-op for sale",899000,1,2165,"200 E 27th St Unit 8 /K","New York, NY 10016","200 E 27th St Unit 8 /K, New York, NY 10016","New York","New York County","New York",Manhattan,200,"200 E 27th St Apt 8e, New York, NY 10016, USA",40.7412239,-73.9813712
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Co-op for sale",21000000,2.5,2181,"730 Park Ave # 9A","New York, NY 10021","730 Park Ave # 9A, New York, NY 10021","New York","New York County","New York",Manhattan,730,"730 Park Ave #9a, New York, NY 10021, USA",40.7704869,-73.9648893
"Brokered by Brown Harris Stevens - 445 Park Avenue","Condo for sale",15900000,4,3698,"1 Central Park S Unit 1901","Manhattan, NY 10019","1 Central Park S Unit 1901, Manhattan, NY 10019","New York","New York County","New York",Manhattan,1,"1 Central Park S #1901, New York, NY 10019, USA",40.7646573,-73.9744439
"Brokered by COMPASS","Condo for sale",2250000,1,1710,"181 Hudson St Ste 2A","Manhattan, NY 10013","181 Hudson St Ste 2A, Manhattan, NY 10013","New York","New York County","New York",Manhattan,181,"181 Hudson St #2a, New York, NY 10013, USA",40.7228727,-74.0083077
"Brokered by REAL NEW YORK - Lower East Side","Condo for sale",989000,1,930,"282A Nassau Ave Apt 3A","Brooklyn, NY 11222","282A Nassau Ave Apt 3A, Brooklyn, NY 11222","New York","Kings County",Brooklyn,Greenpoint,282A,"282A Nassau Ave #3a, Brooklyn, NY 11222, USA",40.7259961,-73.9393987
"Brokered by Keller Williams Realty Elite","Co-op for sale",309999,1,650,"30-31 Hobart St Unit 3O","Woodside, NY 11377","30-31 Hobart St Unit 3O, Woodside, NY 11377","New York","Queens County",Queens,Woodside,30-31,"30-31 Hobart St #3, Woodside, NY 11377, USA",40.7589055,-73.9064463
"Brokered by E Realty International Corp","Condo for sale",600000,1,830,"132-35 Sanford Ave Unit Ld","Flushing, NY 11355","132-35 Sanford Ave Unit Ld, Flushing, NY 11355","United States","New York","Queens County",Queens,"Sanford Avenue","132- 35 Sanford Ave, Flushing, NY 11355, USA",40.7553537,-73.8319271
"Brokered by Berkshire Hathaway","Co-op for sale",265000,1,2176,"5700 Arlington Ave Apt 21E","Bronx, NY 10471","5700 Arlington Ave Apt 21E, Bronx, NY 10471","New York","Bronx County","The Bronx","North Riverdale",5700,"5700 Arlington Ave #21e, Bronx, NY 10471, USA",40.9069228,-73.9062512
"Brokered by Winzone Realty Inc","Co-op for sale",240000,1,750,"102-17 64th Rd Unit 4F","Forest Hills, NY 11375","102-17 64th Rd Unit 4F, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",102-17,"102-17 64th Rd #4f, Forest Hills, NY 11375, USA",40.7314663,-73.8527035
"Brokered by COMPASS","Townhouse for sale",1790000,5,2736,"12-07 40th Ave Unit Multi","Queens, NY 11101","12-07 40th Ave Unit Multi, Queens, NY 11101","United States","New York","Queens County",Queens,"40th Avenue","12-07 40th Ave, Long Island City, NY 11101, USA",40.7560084,-73.9423437
"Brokered by ES Realty Eva Shammah LLC","Co-op for sale",225000,1,622,"387 Avenue S Apt 1F","Brooklyn, NY 11223","387 Avenue S Apt 1F, Brooklyn, NY 11223","New York","Kings County",Brooklyn,Gravesend,387,"387 Ave. S #1f, Brooklyn, NY 11223, USA",40.6022749,-73.9711068
"Brokered by Neuhaus Realty, Inc.","Multi-family home for sale",1299000,2.5,3733,"433 Clove Rd","Staten Island, NY 10310","433 Clove Rd, Staten Island, NY 10310","United States","New York","Richmond County","Staten Island","Clove Road","433 Clove Rd, Staten Island, NY 10310, USA",40.6298438,-74.1233871
"Brokered by Brown Harris Stevens","Condo for sale",1625000,2,995,"393 W End Ave Apt 8F","Manhattan, NY 10024","393 W End Ave Apt 8F, Manhattan, NY 10024","New York","New York County","New York",Manhattan,393,"393 West End Ave #8f, New York, NY 10024, USA",40.7842031,-73.9816026
"Brokered by Elegran Real Estate And Development","Co-op for sale",420000,1,2167,"225 E 36th St Apt 2H","New York, NY 10016","225 E 36th St Apt 2H, New York, NY 10016","New York","New York County","New York",Manhattan,225,"225 E 36th St #2h, New York, NY 10016, USA",40.7466605,-73.9758035
"Brokered by American Homes Group","House for sale",1396000,4,2444,"49 Weed Ave","Staten Island, NY 10306","49 Weed Ave, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Weed Avenue","49 Weed Ave, Staten Island, NY 10306, USA",40.5664524,-74.1051158
"Brokered by Bedford Brownstone Realty LLC","Multi-family home for sale",1195000,3,2400,"5313 Avenue H","Brooklyn, NY 11234","5313 Avenue H, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"Avenue H","5313 Avenue H, Brooklyn, NY 11234, USA",40.6332797,-73.9249485
"Brokered by FOXR - Fox Residential Group","Co-op for sale",620000,1,2207,"80 Central Park W Apt 4G","New York, NY 10023","80 Central Park W Apt 4G, New York, NY 10023","New York","New York County","New York",Manhattan,80,"80 Central Park W #4g, New York, NY 10023, USA",40.7740567,-73.9780672
"Brokered by Keller Williams NYC","Co-op for sale",300000,1,2180,"205 E 77th St Apt 11H","New York, NY 10075","205 E 77th St Apt 11H, New York, NY 10075","New York","New York County","New York",Manhattan,205,"205 E 77th St #11h, New York, NY 10075, USA",40.7728867,-73.9575288
"Brokered by Corcoran East Side","Co-op for sale",539000,1,2172,"420 E 55th St Apt 6L","New York, NY 10022","420 E 55th St Apt 6L, New York, NY 10022","New York","New York County","New York",Manhattan,420,"420 E 55th St #6l, New York, NY 10022, USA",40.7562471,-73.9625705
"Brokered by COMPASS","Co-op for sale",599000,2,1025,"510 E 86th St Unit Off","Manhattan, NY 10028","510 E 86th St Unit Off, Manhattan, NY 10028","United States","New York","New York County","New York","East 86th Street","510 East 86th St, New York, NY 10028, USA",40.7754939,-73.9466592
"Brokered by COMPASS","Co-op for sale",650000,1,2205,"140 Cabrini Blvd Apt 82","Manhattan, NY 10033","140 Cabrini Blvd Apt 82, Manhattan, NY 10033","New York","New York County","New York",Manhattan,140,"140 Cabrini Blvd Apt 82, New York, NY 10033, USA",40.8532882,-73.939814
"Brokered by Douglas Elliman  -111 Fifth Ave",Pending,700000,1,500,"23 Waverly Pl # T","New York, NY 10003","23 Waverly Pl # T, New York, NY 10003","United States","New York","New York County","New York","Waverly Place","23 Waverly Pl, New York, NY 10003, USA",40.7304336,-73.9946441
"Brokered by CRM Real Estate",Contingent,469000,2,1352,"28 Monsey Pl","Staten Island, NY 10303","28 Monsey Pl, Staten Island, NY 10303","United States","New York","Richmond County","Staten Island","Monsey Place","28 Monsey Pl, Staten Island, NY 10303, USA",40.6241938,-74.1500827
"Brokered by ANNE - Anne Weintraub","Co-op for sale",1950000,2,2198,"1 Fifth Ave Unit 2J","New York, NY 10003","1 Fifth Ave Unit 2J, New York, NY 10003","New York","New York County","New York",Manhattan,2,"2 5th Ave # 1, New York, NY 10011, USA",40.7319226,-73.9968197
"Brokered by Shares Of New York Marketing","Co-op for sale",729888,2,1600,"166-25 Powells Cove Blvd Unit 4C","Beechhurst, NY 11357","166-25 Powells Cove Blvd Unit 4C, Beechhurst, NY 11357","New York","Queens County",Queens,Whitestone,166-25,"166-25 Powells Cove Blvd #4c, Whitestone, NY 11357, USA",40.7944231,-73.796598
"Brokered by EXIT REALTY CENTRAL","Multi-family home for sale",2225000,5,2178,"158 Stockholm St","Brooklyn, NY 11237","158 Stockholm St, Brooklyn, NY 11237","United States","New York","Kings County",Brooklyn,"Stockholm Street","158 Stockholm St, Brooklyn, NY 11237, USA",40.6992565,-73.9227784
"Brokered by RE/MAX City Square","Multi-family home for sale",890000,5,2166,"2401 Walton Ave","Bronx, NY 10468","2401 Walton Ave, Bronx, NY 10468","United States","New York","Bronx County","The Bronx","Walton Avenue","2401 Walton Ave, Bronx, NY 10468, USA",40.8610016,-73.9014141
"Brokered by BERGEN BASIN REALTY","House for sale",949000,2,2172,"2430 E 71st St","Brooklyn, NY 11234","2430 E 71st St, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"East 71st Street","2430 E 71st St, Brooklyn, NY 11234, USA",40.6142439,-73.9015473
"Brokered by RE MAX Real Estate Professionals","House for sale",650000,2,1500,"54 Farrell Ct","Staten Island, NY 10306","54 Farrell Ct, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Farrell Court","54 Farrell Ct, Staten Island, NY 10306, USA",40.5659163,-74.1274652
"Brokered by BERGEN BASIN REALTY","Land for sale",1499000,2.5,2177,"449 Mayfair Dr S Lot 9","Brooklyn, NY 11234","449 Mayfair Dr S Lot 9, Brooklyn, NY 11234","New York","Kings County",Brooklyn,"Mill Basin",449,"449 Mayfair Dr S #9, Brooklyn, NY 11234, USA",40.6074231,-73.9078973
"Brokered by Winzone Realty Inc","Co-op for sale",535000,2,1350,"142-05 Roosevelt Ave Unit 225","Flushing, NY 11354","142-05 Roosevelt Ave Unit 225, Flushing, NY 11354","New York","Queens County",Queens,Flushing,14205,"14205 Roosevelt Ave Apt 225, Flushing, NY 11354, USA",40.7607942,-73.8258766
"Brokered by Corcoran East Side","Co-op for sale",845000,1,2207,"17 W 54th St Apt 3C","New York, NY 10019","17 W 54th St Apt 3C, New York, NY 10019","New York","New York County","New York",Manhattan,17,"17 W 54th St #3c, New York, NY 10019, USA",40.7617971,-73.9766275
"Brokered by Winzone Realty Inc","Condo for sale",550000,1,712,"61-05 39th Ave Unit G3","Woodside, NY 11377","61-05 39th Ave Unit G3, Woodside, NY 11377","New York","Queens County",Queens,Flushing,6105,"6105 39th Ave Apt G3, Flushing, NY 11377, USA",40.7472923,-73.902194
"Brokered by BROOKLYN`S 4 U REALTY","Multi-family home for sale",2599000,6,4662,"102 Patchen Ave","Brooklyn, NY 11221","102 Patchen Ave, Brooklyn, NY 11221","United States","New York","Kings County",Brooklyn,"Patchen Avenue","102 Patchen Ave, Brooklyn, NY 11221, USA",40.6883929,-73.9273243
"Brokered by Papa Realty","Co-op for sale",498000,2,2200,"17-85 215 St Unit 6H","Bayside, NY 11360","17-85 215 St Unit 6H, Bayside, NY 11360","New York","Queens County",Queens,Flushing,17-85,"17-85 215th St #6k, Flushing, NY 11360, USA",40.7843012,-73.7761962
"Brokered by Elite Real Estate Group 1 Llc","House for sale",840000,2,1675,"1459 Waring Ave","Bronx, NY 10469","1459 Waring Ave, Bronx, NY 10469","United States","New York","Bronx County","The Bronx","Waring Avenue","1459 Waring Ave, Bronx, NY 10469, USA",40.8611137,-73.8439969
"Brokered by Corcoran East Side","Co-op for sale",845000,1,2192,"17 W 54th St Apt 3C","New York, NY 10019","17 W 54th St Apt 3C, New York, NY 10019","New York","New York County","New York",Manhattan,17,"17 W 54th St #3c, New York, NY 10019, USA",40.7617971,-73.9766275
"Brokered by RE/MAX City Square","Multi-family home for sale",890000,5,2163,"2401 Walton Ave","Bronx, NY 10468","2401 Walton Ave, Bronx, NY 10468","United States","New York","Bronx County","The Bronx","Walton Avenue","2401 Walton Ave, Bronx, NY 10468, USA",40.8610016,-73.9014141
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Co-op for sale",2800000,2,2187,"23 E 74th St Apt 14F","New York, NY 10021","23 E 74th St Apt 14F, New York, NY 10021","New York","New York County","New York",Manhattan,23,"23 E 74th St #14f, New York, NY 10021, USA",40.7734427,-73.9647171
"Brokered by Douglas Elliman - 1995 Broadway","Co-op for sale",699000,1,2190,"235 W 70th St Apt 3E","New York, NY 10023","235 W 70th St Apt 3E, New York, NY 10023","New York","New York County","New York",Manhattan,235,"235 W 70th St #3e, New York, NY 10023, USA",40.7780341,-73.9838802
"Brokered by Corcoran Brooklyn Heights",Pending,225000,1,2176,"100 Remsen St Apt 1E","Brooklyn, NY 11201","100 Remsen St Apt 1E, Brooklyn, NY 11201","New York","Kings County",Brooklyn,"Brooklyn Heights",100,"100 Remsen St #1e, Brooklyn, NY 11201, USA",40.6939582,-73.9943695
"Brokered by Coldwell Banker Warburg","Co-op for sale",4995000,4,2186,"3 E 71st St Units 7 & 8C","New York, NY 10021","3 E 71st St Units 7 & 8C, New York, NY 10021","United States","New York","New York County","New York","East 71st Street","3 E 71st St, New York, NY 10021, USA",40.771712,-73.9666841
"Brokered by COMPASS","Condo for sale",2800000,3,3341,"429 Kent Ave Unit L65","Brooklyn, NY 11249","429 Kent Ave Unit L65, Brooklyn, NY 11249","New York","Kings County",Brooklyn,Southside,429,"429 Kent Ave #65, Brooklyn, NY 11249, USA",40.7096014,-73.9682173
"Brokered by COMPASS","Townhouse for sale",4100000,3,2188,"1390 Lexington Ave","Manhattan, NY 10128","1390 Lexington Ave, Manhattan, NY 10128","United States","New York","New York County","New York","Lexington Avenue","1390 Lexington Ave, New York, NY 10128, USA",40.783095,-73.95318
"Brokered by Corcoran Westside Columbus","Co-op for sale",280000,1,1050,"3000 Valentine Ave Apt 3B","Bronx, NY 10458","3000 Valentine Ave Apt 3B, Bronx, NY 10458","New York","Bronx County","The Bronx","West Bronx",3000,"3000 Valentine Ave #3b, Bronx, NY 10458, USA",40.8724137,-73.8852231
"Brokered by Expert Homes Ny","Multi-family home for sale",689000,2,2184,"Paulding Ave and E 228th St","Bronx, NY 10466","Paulding Ave and E 228th St, Bronx, NY 10466",10466,"United States","New York","Bronx County","East Bronx","E 228th St & Paulding Ave, Bronx, NY 10466, USA",40.8871714,-73.8506752
"Brokered by Winzone Realty Inc","Condo for sale",595000,2,739,"71-66 Parsons Blvd Unit 7F","Flushing, NY 11365","71-66 Parsons Blvd Unit 7F, Flushing, NY 11365","New York","Queens County",Queens,Flushing,71-66,"71-66 Parsons Blvd #7f, Flushing, NY 11365, USA",40.72843,-73.81141
"Brokered by COMPASS","Multi-family home for sale",3200000,2.5,4360,"413 W 145th St Unit 2FAMILY","Manhattan, NY 10031","413 W 145th St Unit 2FAMILY, Manhattan, NY 10031","United States","New York","New York County","New York","West 145th Street","413 W 145th St, New York, NY 10031, USA",40.824532,-73.9455086
"Brokered by COMPASS","Townhouse for sale",15990000,8,6000,"175-177 E 78th St","Manhattan, NY 10075","175-177 E 78th St, Manhattan, NY 10075","New York","New York County","New York",Manhattan,175,"175 E 78th St #177, New York, NY 10075, USA",40.7740611,-73.9582952
"Brokered by Corcoran West Side","Condo for sale",2350000,2,1428,"88 Lexington Ave Apt 1602","New York, NY 10016","88 Lexington Ave Apt 1602, New York, NY 10016","New York","New York County","New York",Manhattan,88,"88 Lexington Ave Apt 1602, New York, NY 10016, USA",40.7417244,-73.9835246
"Brokered by Alexander Madison Realty Inc","Co-op for sale",369000,1,2169,"18-05 215th St Unit 16C","Bayside, NY 11360","18-05 215th St Unit 16C, Bayside, NY 11360","New York","Queens County",Queens,Bayside,18-05,"18-05 215th St #16c, Bayside, NY 11360, USA",40.784673,-73.775263
"Brokered by Nest Seekers International, Tribeca","Condo for sale",705000,1,631,"30-05 Vernon Blvd Unit 3E","Queens, NY 11102","30-05 Vernon Blvd Unit 3E, Queens, NY 11102","New York","Queens County",Queens,"Long Island City",30-05,"30-05 Vernon Blvd #3e, Long Island City, NY 11102, USA",40.771526,-73.933747
"Brokered by United Real Estate Fortune","Townhouse for sale",599999,2,1800,"23 Tony Ct","Staten Island, NY 10305","23 Tony Ct, Staten Island, NY 10305","United States","New York","Richmond County","Staten Island","Tony Court","23 Tony Ct, Staten Island, NY 10305, USA",40.5916853,-74.0778219
"Brokered by Brown Harris Stevens - 445 Park Avenue","Co-op for sale",600000,2,2186,"1825 Madison Ave Apt 5F","Manhattan, NY 10035","1825 Madison Ave Apt 5F, Manhattan, NY 10035","New York","New York County","New York",Manhattan,1825,"1825 Madison Ave #5b, New York, NY 10035, USA",40.8014385,-73.9434676
"Brokered by MCVEY JOAN M",Pending,925000,4,1672,"481 Genesee Ave","Staten Island, NY 10312","481 Genesee Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Genesee Avenue","481 Genesee Ave, Staten Island, NY 10312, USA",40.5522652,-74.1732406
"Brokered by Keller Williams NYC","Condo for sale",1675000,2,1294,"340 E 64th St Apt 8R","New York, NY 10065","340 E 64th St Apt 8R, New York, NY 10065","New York","New York County","New York",Manhattan,340,"340 E 64th St #8r, New York, NY 10065, USA",40.7631464,-73.9610896
